No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume,Forward P/E,PEG,P/S,P/B,P/Cash,P/Free Cash Flow,EPS growth this year,EPS growth next year,EPS growth past 5 years,EPS growth next 5 years,Sales growth past 5 years,Dividend Yield,Return on Assets,Return on Equity,Return on Investment,Current Ratio,Quick Ratio,LT Debt/Equity,Total Debt/Equity,Gross Margin,Operating Margin,Profit Margin,Earnings Date,Shares Outstanding,Shares Float,Insider Ownership,Insider Transactions,Institutional Ownership,Institutional Transactions,Float Short,Short Ratio,Average Volume,Performance (Week),Performance (Month),Performance (Quarter),Performance (Half Year),Performance (Year),Performance (YTD),Volatility (Week),Volatility (Month),Analyst Recom,Relative Volume,Beta,Average True Range,20-Day Simple Moving Average,50-Day Simple Moving Average,200-Day Simple Moving Average,52-Week High,52-Week Low,Relative Strength Index (14),Change from Open,Gap
380,POOL,Pool Corporation,Industrials,Industrial Distribution,USA,12574.06,17.39,326.26,1.38%,443085,18.16,2.39,2.03,10.26,275.75,43.25,16.30%,9.85%,34.60%,7.28%,17.30%,1.23%,19.70%,61.60%,30.10%,3.0,0.6,1.1,1.12,31.30%,16.60%,12.00%,4/20/2023 8:30:00 AM,38.84,37.84,0.20%,0.00%,,0.41%,10.20%,8.99,429.07,-2.64%,-8.50%,7.68%,-1.39%,-24.75%,7.92%,2.80%,2.73%,2.5,1.03,0.94,9.77,-3.55%,-9.13%,-4.84%,-31.17%,17.32%,39.87,1.03%,0.34%
381,PPG,"PPG Industries, Inc.",Basic Materials,Specialty Chemicals,USA,32703.26,31.84,138.07,-0.63%,1461668,17.42,2.68,1.85,4.94,28.34,,-27.00%,16.49%,-5.80%,11.88%,3.70%,1.80%,4.80%,16.40%,8.30%,1.5,1.0,0.99,1.03,37.10%,8.10%,5.80%,4/20/2023 4:30:00 PM,235.8,234.4,0.28%,-11.02%,82.50%,0.17%,0.93%,1.47,1492.33,6.35%,5.23%,12.15%,14.84%,4.27%,9.81%,1.85%,2.33%,2.5,0.98,1.16,3.27,7.56%,6.56%,10.57%,-1.53%,28.97%,63.5,0.68%,-1.30%
382,PPL,PPL Corporation,Utilities,Utilities - Regulated Electric,USA,20906.88,29.46,28.55,0.60%,4524947,16.74,1.71,2.65,1.51,58.73,,12.80%,7.03%,-14.40%,17.21%,1.20%,3.36%,2.10%,5.40%,4.20%,0.7,0.6,0.93,1.02,78.70%,17.40%,9.60%,2/17/2023 8:30:00 AM,736.37,735.12,0.05%,-12.19%,72.80%,2.05%,1.64%,2.1,5734.5,3.63%,5.74%,-2.36%,9.30%,-0.56%,-2.29%,1.62%,2.27%,2.1,0.79,0.79,0.57,5.49%,2.62%,1.63%,-10.05%,21.67%,62.78,0.07%,0.53%
383,PRU,"Prudential Financial, Inc.",Financial,Insurance - Life,USA,30399.73,,83.36,0.63%,1921372,6.46,,0.51,1.89,1.76,9.1,-120.10%,5.83%,-18.60%,4.07%,0.00%,6.00%,-0.20%,-5.60%,-3.80%,,,1.25,1.3,,-3.00%,-2.40%,5/2/2023 4:30:00 PM,367.8,366.5,0.14%,-6.05%,59.90%,-0.88%,2.17%,3.32,2400.23,1.97%,-12.00%,-16.17%,-11.08%,-28.66%,-16.19%,2.00%,3.32%,3.1,0.8,1.37,2.55,2.05%,-10.74%,-14.37%,-31.97%,10.60%,44.16,0.22%,0.41%
384,PSA,Public Storage,Real Estate,REIT - Industrial,USA,54015.3,13.23,310.79,1.15%,990141,25.76,0.78,12.92,9.52,69.67,,138.10%,6.17%,28.40%,17.00%,9.40%,3.86%,23.50%,74.10%,33.80%,,,1.2,1.2,74.80%,,99.00%,2/21/2023 4:30:00 PM,175.35,151.79,8.20%,0.02%,81.10%,0.62%,2.60%,3.54,1115.56,5.48%,3.30%,14.57%,5.74%,-18.27%,10.92%,2.23%,2.62%,2.1,0.89,0.46,7.14,6.12%,4.49%,2.76%,-23.32%,15.05%,63.79,0.75%,0.40%
385,PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,USA,48133.23,4.48,102.84,-1.52%,3807671,7.75,0.15,0.28,1.65,7.85,7.05,683.90%,-13.41%,38.30%,30.30%,10.60%,4.08%,15.90%,42.40%,19.90%,1.4,1.2,0.56,0.58,11.80%,5.60%,6.50%,5/3/2023 8:30:00 AM,471.86,458.56,0.20%,0.72%,73.50%,-1.72%,2.41%,2.94,3754.39,2.85%,3.55%,-0.17%,11.05%,19.71%,-1.19%,4.01%,3.47%,2.3,1.01,1.37,3.58,5.23%,1.66%,7.09%,-9.42%,38.94%,55.72,-1.88%,0.36%
386,PTC,PTC Inc.,Technology,Software - Application,USA,14918.28,43.34,125.29,-0.67%,528987,23.85,3.52,7.68,6.15,38.49,32.92,-34.30%,19.90%,118.50%,12.32%,10.70%,,7.40%,15.30%,10.00%,1.4,1.4,0.56,0.56,80.10%,25.20%,17.60%,2/1/2023 4:30:00 PM,117.82,105.26,1.00%,-61.71%,91.10%,-0.96%,1.48%,2.17,719.15,-0.31%,2.14%,4.36%,11.60%,19.29%,4.37%,1.35%,1.97%,2.0,0.74,1.19,2.4,2.76%,-1.41%,4.54%,-10.45%,29.77%,52.69,-0.03%,-0.64%
387,PWR,"Quanta Services, Inc.",Industrials,Engineering & Construction,USA,23027.7,47.9,159.13,-0.49%,679276,19.67,3.98,1.35,4.23,53.74,34.81,-0.70%,14.19%,16.30%,12.04%,12.50%,0.20%,3.70%,9.40%,7.50%,1.6,1.6,0.69,0.69,14.80%,5.10%,2.90%,2/23/2023 8:30:00 AM,143.21,141.17,0.20%,-12.58%,94.40%,-1.40%,2.63%,3.95,939.33,-4.44%,-2.03%,17.38%,18.27%,22.31%,11.67%,2.07%,2.51%,1.9,0.72,1.08,3.96,-0.89%,1.12%,10.89%,-5.70%,49.66%,47.47,-0.05%,-0.44%
388,PXD,Pioneer Natural Resources Company,Energy,Oil & Gas E&P,USA,49444.25,6.71,208.16,-1.06%,1693671,8.99,,2.03,2.19,41.07,9.96,261.20%,2.73%,92.10%,-7.08%,35.70%,13.09%,21.50%,33.70%,28.80%,1.0,0.8,0.18,0.22,54.40%,41.70%,32.10%,2/22/2023 4:30:00 PM,237.0,233.31,0.68%,0.04%,92.50%,-1.19%,1.96%,1.72,2649.35,3.02%,1.88%,-6.35%,-13.70%,-6.37%,-6.87%,1.99%,3.18%,2.2,0.64,1.44,6.33,5.92%,0.71%,-5.45%,-22.51%,17.43%,56.4,-0.56%,-0.51%
389,PYPL,"PayPal Holdings, Inc.",Financial,Credit Services,USA,83280.56,35.78,74.96,1.83%,10517540,13.37,2.45,3.03,4.21,7.66,16.31,-40.60%,14.82%,5.20%,14.59%,16.00%,,3.10%,12.00%,9.30%,1.3,1.3,0.51,0.53,42.30%,13.90%,8.80%,2/9/2023 4:30:00 PM,1139.0,1124.64,0.23%,1.05%,76.00%,1.41%,1.87%,1.65,12748.63,0.77%,-1.16%,-1.72%,-20.11%,-36.29%,5.25%,2.40%,3.00%,2.1,0.82,1.31,2.14,1.17%,-2.12%,-8.04%,-35.11%,12.92%,50.66,2.31%,-0.46%
390,QCOM,QUALCOMM Incorporated,Technology,Semiconductors,USA,137189.28,11.76,123.0,-0.03%,5258569,10.77,,3.19,7.34,16.65,28.77,45.10%,21.83%,47.40%,-7.25%,14.70%,2.44%,24.70%,71.10%,41.20%,2.1,1.4,0.82,0.9,57.20%,33.50%,27.40%,5/3/2023 4:30:00 PM,1122.0,1107.81,0.10%,-6.22%,74.10%,-0.30%,0.93%,1.34,7708.42,-3.45%,1.49%,12.43%,-1.51%,-15.44%,11.88%,2.25%,2.71%,2.2,0.68,1.27,3.34,1.16%,-2.36%,-2.58%,-21.49%,20.67%,49.31,0.54%,-0.57%
391,QRVO,"Qorvo, Inc.",Technology,Semiconductors,USA,9489.1,22.24,94.73,-0.28%,1930834,21.63,2.22,2.31,2.3,10.33,10.01,46.50%,-24.08%,135.90%,10.00%,8.90%,,6.20%,10.50%,16.30%,3.7,2.3,0.49,0.0,42.70%,15.70%,11.10%,2/1/2023 4:30:00 PM,100.94,99.28,0.50%,-3.68%,89.40%,-3.21%,2.48%,1.87,1318.71,-6.10%,-6.51%,4.92%,8.45%,-19.68%,4.51%,2.54%,3.03%,2.9,1.46,1.46,3.0,-3.66%,-7.25%,-1.49%,-21.89%,25.67%,40.05,0.64%,-0.92%
392,RCL,Royal Caribbean Cruises Ltd.,Consumer Cyclical,Travel Services,USA,15829.24,,61.28,-1.15%,3083264,10.2,,1.79,5.45,8.18,,59.50%,76.79%,-25.60%,,0.10%,,-6.40%,-64.10%,-3.30%,0.4,0.3,7.43,8.15,26.90%,-9.70%,-24.40%,2/7/2023 8:30:00 AM,255.19,219.97,0.20%,-73.41%,73.90%,1.71%,8.58%,4.93,3825.13,-5.32%,-15.12%,14.80%,40.97%,-26.56%,23.97%,2.97%,3.92%,2.2,0.81,2.45,2.42,-3.30%,-9.66%,16.96%,-30.11%,97.11%,40.23,-1.64%,0.50%
393,RE,"Everest Re Group, Ltd.",Financial,Insurance - Reinsurance,Bermuda,14212.43,24.48,362.1,-0.25%,252222,6.62,2.04,1.14,1.7,10.17,4.13,-56.40%,14.96%,5.50%,12.00%,13.60%,1.82%,1.50%,6.80%,10.00%,,,0.37,0.37,,9.20%,4.70%,5/2/2023 8:30:00 AM,39.6,38.55,0.50%,-7.11%,96.50%,0.23%,1.12%,1.47,294.68,1.68%,-5.24%,5.83%,32.28%,21.15%,9.31%,1.99%,3.04%,1.9,0.86,0.6,9.69,2.71%,-0.37%,15.82%,-8.33%,48.05%,52.3,-0.51%,0.26%
394,REG,Regency Centers Corporation,Real Estate,REIT - Retail,USA,10322.76,21.45,60.3,0.07%,594526,28.07,,8.43,1.69,155.23,53.99,32.80%,5.81%,24.50%,-0.69%,4.50%,4.31%,4.40%,7.90%,4.80%,,,0.61,0.61,71.70%,38.60%,39.40%,5/4/2023 4:30:00 PM,171.12,169.68,0.40%,-3.05%,,-1.58%,1.48%,2.63,954.07,1.33%,-2.68%,-3.19%,8.26%,-14.53%,-3.52%,1.84%,2.36%,2.3,0.62,1.16,1.34,2.27%,-3.34%,-2.32%,-17.86%,16.03%,50.19,-0.51%,0.58%
395,REGN,"Regeneron Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,90215.55,21.67,828.73,0.43%,549988,18.39,,7.41,3.91,11.65,20.39,-46.90%,8.98%,23.80%,,15.70%,,15.70%,20.50%,16.60%,5.1,4.3,0.12,0.12,87.20%,38.90%,35.60%,5/4/2023 8:30:00 AM,106.8,104.32,0.50%,-12.70%,89.50%,-0.34%,1.16%,1.87,649.11,2.12%,11.21%,14.50%,11.14%,19.85%,14.86%,1.40%,1.97%,2.1,0.85,0.23,16.52,5.35%,7.76%,17.73%,-1.05%,54.04%,67.04,0.64%,-0.22%
396,RF,Regions Financial Corporation,Financial,Banks - Regional,USA,17093.16,8.06,18.36,0.38%,6509222,7.48,,3.35,1.2,1.52,7.28,-8.60%,-1.17%,17.10%,-0.88%,5.10%,4.36%,1.30%,14.80%,23.40%,,,0.16,0.16,,88.50%,42.10%,4/21/2023 8:30:00 AM,932.0,929.75,0.24%,-4.89%,77.50%,0.73%,2.60%,2.03,11888.27,0.16%,-15.62%,-15.27%,-13.27%,-13.88%,-14.84%,2.56%,6.75%,2.3,0.55,1.2,0.84,-0.89%,-14.39%,-14.11%,-24.54%,31.71%,38.94,0.33%,0.05%
397,RHI,Robert Half International Inc.,Industrials,Staffing & Employment Services,USA,8081.89,12.29,74.01,-1.37%,813381,13.06,1.4,1.12,5.05,12.27,18.65,12.50%,14.58%,17.70%,8.80%,6.60%,2.59%,22.40%,44.00%,41.40%,1.9,1.9,0.0,0.0,42.70%,12.30%,9.10%,1/26/2023 4:30:00 PM,106.97,105.49,0.20%,-12.41%,98.20%,-2.96%,5.48%,5.72,1011.73,-5.05%,-8.13%,-0.27%,-7.09%,-34.25%,0.24%,3.05%,2.77%,3.2,0.8,1.33,2.11,-3.31%,-7.65%,-4.98%,-37.50%,13.17%,39.6,-0.82%,-0.56%
398,RJF,"Raymond James Financial, Inc.",Financial,Capital Markets,USA,19334.45,12.44,89.35,-0.48%,1333300,8.55,1.09,1.68,1.97,3.13,,5.20%,9.70%,19.40%,11.40%,11.60%,1.88%,2.00%,16.90%,2.30%,,,0.33,5.69,93.20%,18.40%,13.60%,4/26/2023 4:30:00 PM,214.7,193.54,0.40%,-4.50%,77.50%,0.69%,2.35%,2.87,1588.11,-3.08%,-16.13%,-16.69%,-17.38%,-17.82%,-16.38%,2.50%,3.47%,2.2,0.84,1.04,3.1,-2.65%,-13.37%,-15.37%,-29.09%,5.29%,37.62,-0.62%,0.14%
399,RL,Ralph Lauren Corporation,Consumer Cyclical,Apparel Manufacturing,USA,7511.38,15.05,112.06,-1.56%,825837,12.15,1.9,1.17,3.02,4.42,,653.30%,14.23%,54.20%,7.93%,-1.30%,2.68%,7.20%,21.40%,14.20%,2.1,1.4,0.59,0.6,65.30%,10.90%,8.00%,2/9/2023 8:30:00 AM,66.5,40.2,3.80%,-1.43%,,-0.22%,15.13%,6.47,939.84,-1.94%,-3.60%,-2.10%,19.19%,1.29%,6.05%,2.24%,2.63%,2.6,0.88,1.4,3.07,-1.23%,-4.92%,8.07%,-13.09%,36.27%,42.98,-0.87%,-0.70%
400,RMD,ResMed Inc.,Healthcare,Medical Instruments & Supplies,USA,32489.93,40.33,221.85,0.32%,368730,30.43,3.95,8.63,8.71,128.32,,63.60%,13.32%,17.10%,10.20%,11.60%,0.79%,14.80%,23.40%,19.80%,3.2,1.8,0.48,0.48,56.70%,27.80%,21.50%,4/27/2023 4:30:00 PM,146.7,144.57,0.70%,-9.55%,67.40%,-0.39%,0.90%,2.06,632.18,2.73%,3.36%,8.18%,-4.28%,-9.63%,6.59%,1.09%,1.77%,2.2,0.58,0.48,3.68,4.26%,2.49%,0.41%,-12.54%,17.13%,62.47,0.19%,0.12%
401,ROK,"Rockwell Automation, Inc.",Industrials,Specialty Industrial Machinery,USA,31354.4,29.49,272.15,-0.37%,551776,22.06,2.38,3.98,10.72,66.37,126.43,-31.20%,9.33%,4.60%,12.40%,4.20%,1.73%,9.90%,40.20%,14.00%,1.0,0.7,0.98,1.38,40.20%,16.00%,13.60%,1/26/2023 8:30:00 AM,114.8,114.65,0.20%,-13.60%,82.60%,-1.30%,2.46%,3.99,706.69,-5.35%,-9.97%,5.25%,15.95%,-2.49%,5.66%,2.53%,2.62%,2.8,0.78,1.43,7.4,-3.85%,-5.46%,7.15%,-12.03%,43.18%,40.34,-0.01%,-0.36%
402,ROL,"Rollins, Inc.",Consumer Cyclical,Personal Services,USA,19000.26,51.78,38.78,0.57%,1154279,41.39,6.31,7.05,15.09,199.37,84.94,3.30%,11.95%,14.10%,8.20%,10.00%,1.34%,17.30%,31.30%,27.50%,0.7,0.6,0.03,0.04,51.50%,18.30%,13.70%,2/15/2023 4:30:00 PM,492.35,236.77,44.10%,-6.71%,43.40%,1.80%,4.24%,7.4,1355.96,4.25%,10.71%,6.80%,5.73%,11.28%,6.13%,1.46%,1.53%,2.6,0.85,0.65,0.56,6.18%,7.77%,5.08%,-9.94%,23.39%,76.19,0.83%,-0.26%
403,ROP,"Roper Technologies, Inc.",Technology,Software - Application,USA,46471.76,47.21,435.7,-0.39%,363451,25.17,4.94,8.65,2.88,58.62,107.52,22.00%,7.16%,4.80%,9.55%,3.10%,0.63%,17.80%,31.80%,5.40%,0.7,0.6,0.37,0.42,69.90%,28.40%,84.60%,4/27/2023 8:30:00 AM,105.9,105.62,0.30%,-11.70%,97.10%,-3.04%,0.72%,1.32,577.66,-0.30%,2.64%,-0.05%,14.52%,-8.61%,0.84%,1.18%,1.71%,2.2,0.63,1.03,6.84,1.29%,1.48%,4.66%,-10.76%,22.31%,55.04,-0.23%,-0.16%
404,ROST,"Ross Stores, Inc.",Consumer Cyclical,Apparel Retail,USA,36414.34,24.23,106.22,-0.23%,1709010,19.39,2.98,1.95,8.42,8.0,60.29,-10.10%,10.06%,5.60%,8.13%,5.80%,1.26%,11.40%,36.40%,22.50%,1.9,1.3,0.57,0.57,25.40%,10.60%,8.10%,2/28/2023 4:30:00 PM,339.75,338.19,0.10%,-6.50%,92.50%,-0.33%,1.54%,2.16,2402.0,3.00%,-2.59%,-10.29%,18.26%,14.03%,-8.49%,2.06%,2.26%,2.0,0.71,0.98,2.41,2.36%,-3.69%,7.65%,-13.25%,53.41%,49.78,0.03%,-0.25%
405,RSG,"Republic Services, Inc.",Industrials,Waste Management,USA,42765.85,28.92,135.7,0.35%,919824,23.46,3.22,3.17,4.43,298.23,37.41,16.10%,11.64%,14.30%,8.97%,6.10%,1.46%,5.40%,15.90%,9.50%,0.7,0.7,1.17,1.22,39.30%,17.70%,11.00%,4/27/2023 4:30:00 PM,316.5,315.2,0.10%,-1.33%,95.80%,-0.15%,0.50%,1.02,1549.83,0.63%,6.03%,8.11%,-3.87%,1.82%,5.20%,1.30%,1.75%,2.2,0.59,0.66,2.15,2.96%,5.37%,1.69%,-9.03%,13.35%,63.72,0.18%,0.16%
406,RTX,Raytheon Technologies Corporation,Industrials,Aerospace & Defense,USA,144506.19,27.96,98.21,-0.56%,3430354,16.87,2.1,2.15,1.98,23.23,82.48,35.90%,16.09%,-11.80%,13.34%,2.30%,2.24%,3.30%,7.30%,4.50%,1.1,0.8,0.42,0.44,20.40%,8.10%,7.70%,4/25/2023 8:30:00 AM,1465.9,1451.58,0.09%,-1.06%,80.90%,-0.99%,0.68%,2.06,4759.27,0.86%,0.83%,-2.65%,15.26%,-0.61%,-2.69%,1.63%,1.83%,2.2,0.72,1.06,1.69,0.85%,-0.28%,4.07%,-7.37%,22.35%,50.73,-0.57%,0.01%
407,SBAC,SBA Communications Corporation,Real Estate,REIT - Specialty,USA,27897.42,61.58,259.68,0.57%,336375,44.29,4.14,10.59,,192.4,36.49,97.40%,15.94%,30.40%,14.89%,8.80%,1.31%,4.50%,-8.60%,11.30%,0.7,0.7,,,74.60%,35.10%,17.50%,2/21/2023 4:30:00 PM,107.98,106.59,0.40%,0.00%,97.20%,-0.20%,1.37%,1.75,832.73,0.96%,3.54%,-7.71%,-8.28%,-27.98%,-7.36%,1.74%,2.79%,2.1,0.4,0.5,6.74,2.63%,-3.25%,-11.49%,-31.66%,9.94%,51.59,0.42%,0.15%
408,SBUX,Starbucks Corporation,Consumer Cyclical,Restaurants,USA,120562.05,36.32,104.68,-0.21%,3154407,25.71,2.1,3.66,,36.42,,-20.00%,19.94%,7.50%,17.33%,7.60%,2.03%,11.70%,-38.20%,57.90%,0.8,0.5,,,25.80%,14.30%,10.10%,5/2/2023 4:30:00 PM,1148.5,1145.62,0.10%,-2.54%,72.10%,2.10%,1.10%,2.09,6067.26,3.32%,2.13%,0.24%,16.16%,24.44%,5.52%,1.61%,1.71%,2.5,0.52,0.94,1.78,4.15%,0.92%,11.62%,-5.55%,53.06%,60.32,-0.21%,0.00%
409,SCHW,The Charles Schwab Corporation,Financial,Capital Markets,USA,86393.09,14.08,49.35,0.98%,28056108,10.4,0.93,3.87,3.42,2.15,,24.00%,25.03%,16.30%,15.19%,20.00%,2.03%,1.10%,21.30%,1.70%,,,0.77,15.04,93.10%,42.10%,29.70%,4/17/2023 8:30:00 AM,1864.0,1619.15,6.34%,-1.16%,88.50%,-0.61%,0.97%,0.68,23131.77,-5.95%,-35.24%,-40.62%,-35.01%,-39.71%,-40.73%,3.28%,6.97%,2.1,1.21,0.88,3.05,-10.66%,-28.72%,-32.07%,-43.03%,9.67%,29.42,1.13%,-0.14%
410,SEDG,"SolarEdge Technologies, Inc.",Technology,Solar,Israel,15659.81,168.92,280.24,0.48%,624009,24.29,4.02,5.03,7.21,15.29,,-46.00%,27.90%,-6.10%,42.02%,38.60%,,2.40%,4.50%,2.90%,3.3,2.4,0.31,0.0,27.20%,5.30%,3.00%,2/13/2023 4:30:00 PM,55.98,55.33,0.60%,-9.98%,90.30%,1.76%,4.78%,2.3,1151.12,-5.33%,-13.75%,1.26%,19.64%,-14.74%,-1.07%,4.16%,5.53%,2.1,0.54,1.43,15.32,-4.46%,-8.43%,-2.73%,-25.45%,47.38%,42.57,1.24%,-0.75%
411,SEE,Sealed Air Corporation,Consumer Cyclical,Packaging & Containers,USA,6764.75,14.08,46.87,-0.26%,1134499,11.12,2.66,1.2,19.69,14.83,26.27,3.40%,14.98%,44.80%,5.30%,4.80%,1.71%,8.00%,206.50%,17.30%,1.0,0.6,9.41,10.69,31.40%,16.50%,8.70%,5/2/2023 8:30:00 AM,144.7,143.9,0.60%,0.31%,93.90%,-6.55%,1.46%,1.83,1152.9,5.56%,-1.47%,-6.33%,1.89%,-29.53%,-6.03%,1.96%,2.18%,2.6,0.98,1.24,1.01,4.71%,-3.32%,-8.72%,-33.01%,13.65%,55.35,-0.23%,-0.02%
412,SHW,The Sherwin-Williams Company,Basic Materials,Specialty Chemicals,USA,57502.38,29.0,223.98,0.52%,1366221,22.73,3.2,2.6,18.59,289.25,87.54,10.50%,16.15%,13.60%,9.07%,8.10%,1.08%,9.10%,79.50%,15.10%,1.0,0.6,3.09,3.41,42.10%,11.80%,9.10%,4/25/2023 8:30:00 AM,257.4,237.16,0.10%,-0.21%,79.20%,-0.68%,1.02%,1.48,1637.04,3.21%,1.80%,-1.66%,3.04%,-13.18%,-5.63%,2.26%,2.39%,2.5,0.83,1.07,5.15,3.13%,-0.40%,-3.43%,-21.41%,14.72%,54.56,1.71%,-1.17%
413,SJM,The J. M. Smucker Company,Consumer Defensive,Packaged Foods,USA,16773.18,23.52,156.51,-0.50%,796398,16.44,6.21,2.01,2.0,160.97,79.8,-25.10%,9.65%,2.70%,3.79%,1.60%,2.61%,4.40%,8.70%,6.40%,1.2,0.5,0.52,0.52,32.20%,13.10%,8.50%,2/28/2023 8:30:00 AM,106.5,101.92,1.30%,-8.23%,82.70%,-1.01%,3.56%,3.75,967.18,-0.65%,4.00%,-1.81%,10.80%,13.60%,-1.23%,1.39%,1.71%,3.1,0.82,0.22,2.55,1.66%,3.51%,7.90%,-4.02%,30.62%,58.04,-0.89%,0.39%
414,SLB,Schlumberger Limited,Energy,Oil & Gas Equipment & Services,USA,72003.58,20.74,49.62,-2.13%,6733722,13.35,0.66,2.56,3.99,24.88,57.42,81.70%,23.37%,34.00%,31.50%,-1.60%,2.02%,8.00%,20.70%,12.40%,1.2,0.9,0.6,0.69,18.40%,15.90%,12.20%,4/21/2023 8:30:00 AM,1422.0,1415.79,0.19%,-13.30%,85.80%,3.81%,1.32%,1.87,9971.53,1.81%,-7.32%,-5.79%,19.36%,22.64%,-7.18%,3.13%,3.70%,1.9,0.68,1.78,1.99,2.95%,-4.92%,7.93%,-16.53%,61.89%,49.27,-2.09%,-0.04%
415,SNA,Snap-on Incorporated,Industrials,Tools & Accessories,USA,12206.25,13.6,228.71,-0.44%,315979,12.9,4.86,2.52,2.7,16.12,43.92,12.80%,4.43%,11.80%,2.80%,3.90%,2.83%,13.20%,20.90%,16.50%,3.5,2.4,0.26,0.27,52.30%,24.90%,18.80%,4/20/2023 8:30:00 AM,52.9,52.24,1.50%,-16.07%,89.50%,-0.03%,4.77%,8.17,305.31,-5.46%,-7.43%,-0.58%,6.87%,10.88%,0.10%,2.33%,1.97%,3.1,1.03,1.09,4.88,-4.07%,-6.67%,0.57%,-11.96%,20.32%,36.1,-0.11%,-0.34%
416,SNPS,"Synopsys, Inc.",Technology,Software - Infrastructure,USA,57624.78,62.14,375.92,-0.64%,848435,31.05,3.66,11.14,10.16,44.26,36.95,30.70%,14.43%,48.10%,16.97%,13.30%,,10.00%,16.90%,18.50%,1.1,1.0,0.0,0.0,78.90%,20.70%,18.20%,2/15/2023 4:30:00 PM,152.4,151.48,0.20%,-19.27%,92.70%,0.55%,1.24%,2.36,793.57,-0.01%,1.87%,19.32%,16.97%,14.71%,17.74%,2.02%,2.43%,1.6,1.07,1.18,8.59,0.67%,2.56%,11.97%,-4.29%,47.41%,52.73,0.08%,-0.72%
417,SO,The Southern Company,Utilities,Utilities - Regulated Electric,USA,77856.9,22.11,72.31,1.13%,4504808,17.96,3.03,2.66,2.59,40.61,,45.50%,11.58%,41.60%,7.30%,4.90%,3.76%,2.70%,11.90%,5.20%,0.7,0.5,1.67,1.89,82.90%,18.30%,12.00%,4/27/2023 8:30:00 AM,1090.0,1086.79,0.10%,-4.68%,63.50%,2.61%,1.06%,2.61,4418.09,4.71%,11.71%,2.74%,5.21%,-2.74%,1.26%,1.71%,2.26%,2.7,1.02,0.5,1.43,6.69%,8.30%,3.28%,-10.25%,22.87%,70.56,0.56%,0.57%
418,SPG,"Simon Property Group, Inc.",Real Estate,REIT - Retail,USA,35924.43,16.84,109.77,-0.16%,1145077,17.95,1.96,6.79,11.59,57.79,42.14,-4.70%,1.95%,0.90%,8.60%,-0.90%,6.56%,6.50%,69.40%,9.20%,,,8.06,8.06,81.10%,48.80%,40.40%,2/6/2023 4:30:00 PM,326.94,325.57,0.10%,2.19%,83.00%,-1.80%,1.66%,3.2,1691.94,2.05%,-10.16%,-6.52%,14.62%,-15.94%,-6.56%,2.43%,3.02%,2.3,0.68,1.54,3.12,1.20%,-7.16%,-0.51%,-18.57%,27.61%,45.93,-0.49%,0.33%
419,SPGI,S&P Global Inc.,Financial,Financial Data & Stock Exchanges,USA,113012.13,32.48,340.86,-1.09%,1293057,23.71,2.48,10.11,3.04,86.93,75.85,-18.50%,15.23%,9.90%,13.10%,13.00%,1.06%,5.10%,8.50%,7.90%,0.9,0.9,0.29,0.3,66.30%,44.10%,29.10%,2/9/2023 8:30:00 AM,324.1,318.68,0.10%,-6.18%,91.70%,-3.53%,1.30%,2.92,1425.15,-0.12%,0.58%,1.42%,5.97%,-17.24%,1.77%,1.76%,2.14%,1.7,0.91,1.11,7.27,1.20%,-2.58%,-1.47%,-18.13%,22.03%,49.15,-0.74%,-0.35%
420,SRE,Sempra Energy,Utilities,Utilities - Diversified,USA,48184.91,23.47,155.34,1.44%,1187732,16.2,5.67,3.34,1.86,130.23,,65.20%,6.84%,13.00%,4.14%,8.50%,3.06%,2.70%,8.10%,3.20%,0.6,0.6,0.94,1.1,,15.90%,14.50%,2/28/2023 8:30:00 AM,314.73,310.86,0.04%,-29.22%,89.10%,-0.49%,1.11%,2.52,1372.45,3.86%,4.52%,1.88%,1.18%,-5.87%,0.52%,1.40%,2.11%,2.2,0.87,0.73,3.12,5.95%,2.17%,-0.61%,-11.97%,13.77%,62.14,0.94%,0.50%
421,STE,STERIS plc,Healthcare,Medical Devices,Ireland,19087.94,,193.1,0.44%,241208,21.99,,3.99,3.19,73.58,112.68,-46.40%,9.13%,14.20%,10.00%,11.90%,0.97%,-0.30%,-0.50%,3.70%,2.5,1.6,0.5,0.51,44.80%,2.80%,-0.60%,2/8/2023 4:30:00 PM,99.72,98.41,0.10%,-2.71%,95.90%,0.33%,2.41%,4.39,541.43,2.28%,7.11%,3.10%,11.59%,-21.41%,4.55%,1.39%,2.07%,1.8,0.45,0.85,3.74,5.06%,0.63%,0.86%,-24.55%,21.29%,60.91,0.31%,0.14%
422,STLD,"Steel Dynamics, Inc.",Basic Materials,Steel,USA,17710.32,4.97,103.43,0.20%,1669197,12.01,0.18,0.8,2.22,7.85,5.34,34.50%,-37.84%,51.50%,28.06%,18.50%,1.64%,28.10%,50.40%,35.30%,3.8,2.2,0.37,0.38,27.50%,22.90%,17.40%,4/19/2023 4:30:00 PM,174.71,165.28,5.80%,-0.25%,85.70%,-3.35%,3.01%,2.63,1889.42,-7.11%,-22.00%,4.70%,32.89%,25.31%,5.86%,4.54%,4.70%,3.0,0.88,1.51,4.78,-6.41%,-12.97%,9.01%,-24.20%,65.65%,37.05,0.25%,-0.05%
